,wikidata_id,name,year,cultural_score,occupation
22108,Q71031,Robert Bunsen,"(1820, 1870)",0.1688001941574629,experimentalist
22109,Q71031,Robert Bunsen,"(1820, 1870)",0.1688001941574629,chemist
22110,Q71031,Robert Bunsen,"(1820, 1870)",0.1688001941574629,university teacher
22111,Q14948958,Godfrey Howitt,"(1810, 1860)",0.10021827953264559,botanist
22112,Q14948958,Godfrey Howitt,"(1810, 1860)",0.10021827953264559,entomologist
22113,Q5578068,Emanuel Björling,"(1820, 1870)",0.10031607283391919,mathematician
22114,Q25305740,Xavier de Reul,"(1840, 1890)",0.1000927653691518,geologist
22115,Q25305740,Xavier de Reul,"(1840, 1890)",0.1000927653691518,translator
22116,Q533579,Adolph Reuss,"(1810, 1860)",0.10165000260404815,zoologist
22117,Q533579,Adolph Reuss,"(1810, 1860)",0.10165000260404815,herpetologist
22118,Q4442415,Christian Friedrich Stephan,"(1770, 1820)",0.10108445854732465,botanist
22119,Q5076747,Charles David Badham,"(1820, 1870)",0.10095762024475946,botanist
22120,Q5076747,Charles David Badham,"(1820, 1870)",0.10095762024475946,mycologist
22121,Q5076747,Charles David Badham,"(1820, 1870)",0.10095762024475946,entomologist
22122,Q124869,Charles-Gaspard de la Rive,"(1780, 1830)",0.10184312585007452,chemist
22123,Q124869,Charles-Gaspard de la Rive,"(1780, 1830)",0.10184312585007452,university teacher
22124,Q124577,Georg Gerland,"(1840, 1890)",0.10248803410059414,geographer
22125,Q124577,Georg Gerland,"(1840, 1890)",0.10248803410059414,geophysicist
22126,Q124577,Georg Gerland,"(1840, 1890)",0.10248803410059414,anthropologist
22127,Q124577,Georg Gerland,"(1840, 1890)",0.10248803410059414,linguist
22128,Q124577,Georg Gerland,"(1840, 1890)",0.10248803410059414,university teacher
22129,Q15994838,James Wilson,"(1810, 1860)",0.10024625069210481,zoologist
22130,Q95500222,Ludwig Achleitner,"(1810, 1860)",0.10013766301583878,composer
22131,Q95500222,Ludwig Achleitner,"(1810, 1860)",0.10013766301583878,organist
22132,Q95500222,Ludwig Achleitner,"(1810, 1860)",0.10013766301583878,music pedagogue
22133,Q1580401,Hans Hübner,"(1850, 1900)",0.10139226289905814,chemist
22134,Q1580401,Hans Hübner,"(1850, 1900)",0.10139226289905814,university teacher
22135,Q55845743,Jakob Pöschl,"(1840, 1890)",0.10048911149777606,physicist
22136,Q5294149,Donald Campbell,"(1760, 1810)",0.10033577784161807,explorer
22137,Q5294149,Donald Campbell,"(1760, 1810)",0.10033577784161807,travel writer
22138,Q969548,Johannes Elias Teijsmann,"(1820, 1870)",0.10335788529620904,botanist
22139,Q76353,Carl Ludwig Willdenow,"(1780, 1830)",0.11735096036648238,taxonomist
22140,Q76353,Carl Ludwig Willdenow,"(1780, 1830)",0.11735096036648238,botanist
22141,Q76353,Carl Ludwig Willdenow,"(1780, 1830)",0.11735096036648238,mycologist
22142,Q76353,Carl Ludwig Willdenow,"(1780, 1830)",0.11735096036648238,pteridologist
22143,Q76353,Carl Ludwig Willdenow,"(1780, 1830)",0.11735096036648238,university teacher
22144,Q2040136,Johann Otto Pfundtner,"(1850, 1900)",0.10065369676688479,pedagogue
22145,Q55845846,Gottfried Ramsauer,"(1840, 1890)",0.10015939847838431,pedagogue
