,individual_wikidata_id,individual_name,occupations_wikidata_id,occupations_name,occupations_category
112585,Q112410,Marcus von Niebuhr,Q188094,economist,science|writer
112589,Q6134736,James Goodwin,Q11900058,explorer,science|writer
112591,Q5697398,Antoine Cariot,Q2374149,botanist,science|writer
112592,Q79251769,Johann Jacob Bernoulli,Q2114605,pharmacologist,science|writer
112593,Q29172692,Arthur Arneth,Q170790,mathematician,science|writer
112603,Q1227236,Joseph Tiefenthaler,Q901402,geographer,science|writer
112604,Q1227236,Joseph Tiefenthaler,Q11900058,explorer,science|writer
112612,Q4054208,Arkady Abaza,Q16145150,music pedagogue,artist|science|writer
112616,Q500220,Andreas Reyher,Q1231865,pedagogue,science|writer
112636,Q20354041,Rebecca Merritt Austin,Q18805,naturalist,science|writer
112637,Q20354041,Rebecca Merritt Austin,Q3140857,horticulturist,science|writer
112638,Q20354041,Rebecca Merritt Austin,Q2374149,botanist,science|writer
112639,Q20354041,Rebecca Merritt Austin,Q811620,nursery gardener,science|writer
112653,Q1033711,Miksa Hantken,Q1662561,paleontologist,science|writer
112654,Q1033711,Miksa Hantken,Q2374149,botanist,science|writer
112666,Q5494672,Gottfried Christian Reich,Q1225716,ornithologist,science|writer
112667,Q5494672,Gottfried Christian Reich,Q3055126,entomologist,science|writer
112669,Q52153967,Alessandro Massaria,Q169470,physicist,science|writer
112674,Q2476600,Ulrich Schiegg,Q11063,astronomer,science|writer
112675,Q2476600,Ulrich Schiegg,Q170790,mathematician,science|writer
112683,Q18193442,Charles Leander Doolittle,Q11063,astronomer,science|writer
112697,Q1160910,Gottlob Daniel Reymann,Q1734662,cartographer,artist|science|writer
112702,Q1038901,Karl Hornemann,Q593644,chemist,science|writer
112706,Q376367,Thomas Brisbane,Q11063,astronomer,science|writer
112717,Q67295,Otto Ammon,Q2306091,sociologist,science|writer
112718,Q67295,Otto Ammon,Q4773904,anthropologist,science|writer
112719,Q67295,Otto Ammon,Q16755977,racial theorist,science|writer
112731,Q787355,Maxwell Tylden Masters,Q2374149,botanist,science|writer
112732,Q930547,Jacques Draparnaud,Q18805,naturalist,science|writer
112733,Q930547,Jacques Draparnaud,Q350979,zoologist,science|writer
112734,Q930547,Jacques Draparnaud,Q2374149,botanist,science|writer
112735,Q930547,Jacques Draparnaud,Q16271261,malacologist,science|writer
112741,Q66587202,Anna Arnot,Q2374149,botanist,science|writer
112748,Q5539280,George Finlayson,Q18805,naturalist,science|writer
112749,Q5539280,George Finlayson,Q2374149,botanist,science|writer
112756,Q3261589,Louis Cordier,Q520549,geologist,science|writer
112757,Q3261589,Louis Cordier,Q13416354,mineralogist,science|writer
112767,Q3170415,Jean Armand Isidore Pancher,Q2374149,botanist,science|writer
112771,Q555808,Giovanni Furno,Q16145150,music pedagogue,artist|science|writer
112783,Q611633,Aud the Deep-Minded,Q11900058,explorer,science|writer
112786,Q7966274,Walter Thom,Q2732142,statistician,science|writer
112791,Q8201174,Antonio Casares Rodríguez,Q593644,chemist,science|writer
112799,Q3048195,Edoardo De Betta,Q18805,naturalist,science|writer
112800,Q3048195,Edoardo De Betta,Q350979,zoologist,science|writer
112805,Q8962644,Francisco de Urdiñola,Q126236,conquistador,science|writer
112806,Q64167173,Johann Andreas Harmssen,Q1937330,world traveler,science|writer
112813,Q106693967,William Green,Q593644,chemist,science|writer
112814,Q6083693,Georg Rung,Q2310145,meteorologist,science|writer
