,wikidata_id,meta_occupation
1039,Q110553,geographer
1040,Q110556154,botanist
1041,Q110569003,geographer
1042,Q11059583,physicist
1043,Q11059583,mathematician
1044,Q1106331,physicist
1045,Q110647428,musicologist
1046,Q11065,astronomer
1047,Q11065,physicist
1048,Q11065,mathematician
1049,Q11065,geographer
1050,Q11065307,archeologist
1051,Q11065307,historian
1052,Q110654824,botanist
1053,Q110656328,archeologist
1054,Q11067446,geographer
1055,Q11067613,mathematician
1056,Q1106763,anatomist
1057,Q11068495,mathematician
1058,Q11068896,astronomer
1059,Q1106932,geographer
1060,Q11070428,chemist
1061,Q1107072,botanist
1062,Q11070726,mathematician
1063,Q110709,astronomer
1064,Q110709,mathematician
1065,Q1107256,mathematician
1066,Q110731,anatomist
1067,Q110731,botanist
1068,Q1107372,archeologist
1069,Q1107372,historian
1070,Q110743,astronomer
1071,Q11075,astronomer
1072,Q11075,mathematician
1073,Q110754,botanist
1074,Q110765394,chemist
1075,Q110769323,astronomer
1076,Q1107869,astronomer
1077,Q11079,astronomer
1078,Q11079,mathematician
1079,Q1107900,astronomer
1080,Q1107900,physicist
1081,Q110790334,zoologist
1082,Q110795924,botanist
1083,Q1107977,astronomer
1084,Q1107977,physicist
1085,Q1107977,mathematician
1086,Q1107985,physicist
1087,Q1107985,chemist
1088,Q110830,astronomer
1089,Q110830,zoologist
1090,Q110830,botanist
1091,Q110847,physicist
1092,Q110847,philosopher
1093,Q110847,theologian
1094,Q110859,botanist
1095,Q110869,astronomer
1096,Q110869,physicist
1097,Q110871,zoologist
1098,Q110871,botanist
1099,Q110887302,geologist
1100,Q110915,mathematician
1101,Q1109251,geographer
1102,Q11095247,geographer
1103,Q110956,anatomist
1104,Q11095891,mathematician
1105,Q110968765,archeologist
1106,Q110976,geologist
1107,Q110976,zoologist
1108,Q111030,economist
1109,Q111036322,astronomer
1110,Q11104,astronomer
1111,Q11104,physicist
1112,Q11104,philosopher
1113,Q11104,mathematician
1114,Q1110493,linguist
1115,Q1110937,linguist
1116,Q1111078,zoologist
1117,Q1111078,botanist
1118,Q1111111,botanist
1119,Q1111214,astronomer
1120,Q1111214,geographer
1121,Q111123,linguist
1122,Q11114865,astronomer
1123,Q11114865,mathematician
1124,Q11115066,mathematician
1125,Q111154579,archeologist
1126,Q111155004,botanist
1127,Q1111597,economist
1128,Q1111667,historian
1129,Q11116711,mathematician
1130,Q11116711,zoologist
1131,Q1111679,archeologist
1132,Q11118678,mathematician
1133,Q111205773,zoologist
1134,Q1112346,botanist
1135,Q111283052,botanist
1136,Q111301,zoologist
1137,Q111301,botanist
1138,Q1113203,geographer
1139,Q111329,historian
1140,Q111329,theologian
1141,Q111329,linguist
1142,Q11133,astronomer
1143,Q111348,geologist
1144,Q111355,geographer
1145,Q111361832,botanist
1146,Q1113640,botanist
